time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA,EMA,EMA,EMA,EMA,Histogram,MACD,Signal,MF,RSI
2020-03-03T00:00:00Z,232.1,232.46,219.57,223.91,227.92612664303252,235.74800340315488,235.4178047406002,231.86413909582845,741498.54825,849675.3758020006,213.84873546224804,199.93345476356504,191.75292395256054,191.091963497236,-7.087042669614382,1.454872170032587,8.541914839646969,16.80863121284301,46.34399747453287
2020-03-04T00:00:00Z,223.84,228.85,220.23,224.26,227.7166336920021,234.70363945741352,233.82383263480017,230.34331127666275,443780.33772,817380.4350030005,214.2205663385963,200.47404465770805,192.20129741528385,191.37545098871263,-6.427179735968268,0.5079401696866341,6.935119905654902,17.38639505695754,46.49945806300133
2020-03-05T00:00:00Z,224.26,234.09,224.23,228.38,227.7545403381734,234.12876314310319,233.04614225840015,229.9506490213302,601479.87587,810707.2126635007,214.72626039793215,201.09417699864787,192.70031400265924,191.6917291853903,-5.4769644401111135,0.08891435551601035,5.565878795627124,23.835269732525788,48.394891527048564
2020-03-06T00:00:00Z,228.38,245.16,227.33,244.88,228.7331380331349,235.106148311912,234.73669336434298,232.93651921706416,628147.3257,799073.9218115007,215.80317966943457,202.0671952875668,193.4200338095191,192.14632979064336,-3.5920279767475414,1.0758438246926971,4.6678718014402385,24.21640184528728,55.234964123001994
2020-03-07T00:00:00Z,244.93,251.93,236,237.23,229.21867300267004,235.29922573810182,235.0928800265797,233.79521537365133,633748.89662,775255.4434450006,216.56842325266905,202.8485909478431,194.0243092052499,192.53166030525324,-2.7530475011135396,1.2265624250483143,3.979609926161854,29.614877035108634,51.8063901650677
2020-03-08T00:00:00Z,237.23,237.23,195.5,199.43,227.51646311680318,232.03838703463802,229.99818287992545,226.92217229892105,1278973.53741,783685.5507685007,215.95633670793086,202.77262226011325,194.09887045759126,192.5906204735844,-4.531460529899139,-1.6847157362120697,2.846744793687069,23.44834291916689,38.94325702407717
2020-03-09T00:00:00Z,199.43,208.62,190,202.81,226.10466522441442,229.38126094058,226.11415675422182,222.09973783913685,1661331.83553,810975.9705490007,215.4868246826476,202.77345287655518,194.21902396852104,192.6779655977418,-5.218838239080017,-3.6768030051629523,1.5420352339170647,22.220664545343666,40.36901240325134
2020-03-10T00:00:00Z,202.79,206.2,195.54,200.7,224.6529700687336,226.77387358234546,222.48356293219013,217.81979027130947,1020260.107,826690.2894050006,214.95872380112448,202.72737614596508,194.30841674136903,192.7465299943423,-5.524806857795854,-5.363973338327753,0.16083351946810098,29.40376332512014,39.74506916752639
2020-03-11T00:00:00Z,200.74,203.18,181.73,194.61,222.9362289219488,223.84988507485951,218.5016253704487,213.17783221704758,1079824.90167,832033.0486430007,214.23198366537002,202.54699000938808,194.3125765104536,192.76245708840776,-5.817078416759775,-7.110514501481617,-1.2934360847218427,30.6229958530068,37.923182920342654
2020-03-12T00:00:00Z,194.61,195.55,101.2,107.82,216.35815869783744,213.30171370441775,202.68996460324175,192.10626577363806,3814533.14046,996468.3119960006,210.4315556773211,200.44194578695723,193.11957545513698,192.03645318166923,-11.222270737650312,-15.321274506784732,-4.099003769134421,28.253697035272694,22.261688903596053
