time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA,EMA,EMA,EMA,EMA,Histogram,MACD,Signal,MF,RSI
2018-07-01T00:00:00Z,454.2,515.47,416.94,432.22,NaN,NaN,NaN,528.7932622222222,4643015.20349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-01T00:00:00Z,432.2,434.99,250,281.41,NaN,NaN,534.1538461538462,479.3166097777778,8484870.73771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-01T00:00:00Z,281.46,302,167.32,232.94,NaN,NaN,491.1232967032967,430.0412878222222,15010820.409829998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.519470170098536,NaN
2018-10-01T00:00:00Z,233.04,239,189.01,198.73,NaN,NaN,449.3528257456829,383.7790302577778,5656006.609019999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.79639405583046,46.09229295831443
2018-11-01T00:00:00Z,198.7,224.8,102.36,113.73,NaN,NaN,401.4067077820139,329.76922420622225,10359779.81155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.8554934540192,44.385640552054774
2018-12-01T00:00:00Z,113.71,157.67,81.79,131.45,NaN,NaN,362.84146381315475,290.1053793649778,18264688.978420004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.077910076640634,44.844139039385965
2019-01-01T00:00:00Z,131.45,159.26,100.91,106.44,NaN,NaN,326.21268326841835,253.37230349198225,13940118.50003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.87884083852674,44.28915181187153
2019-02-01T00:00:00Z,106.47,166,101.21,135.34,NaN,NaN,298.9451570872157,229.7658427935858,12685474.00855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.004149416864124,45.13413556455379
2019-03-01T00:00:00Z,135.32,145.89,122.6,141.38,NaN,NaN,276.43584893189916,212.08867423486862,8362024.665000002,6233815.356825501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.999070696625182,45.320796974950646
2019-04-01T00:00:00Z,141.41,185.87,139.57,161.83,NaN,388.8495238095238,260.0635847987707,202.0369393878949,12889187.353120001,6874142.2090955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.121773724402445,45.99077615986098
2019-05-01T00:00:00Z,161.85,288.62,157.55,267.9,NaN,377.85411255411253,261.1830726846606,215.20955151031592,19233502.161,7827420.4609234985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.51942780157412,49.450488846816874
2019-06-01T00:00:00Z,267.9,366.8,226.56,292.7,NaN,370.11282959464774,265.6854908725662,230.70764120825274,12433954.404360002,8437561.289292999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.73220742954749,50.25287582705511
2019-07-01T00:00:00Z,292.89,318.19,191.84,218.42,NaN,356.3225723587707,258.933277890771,228.2501129666022,11176590.650739998,8968483.816842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.26840035139201,47.8052372549961
2019-08-01T00:00:00Z,218.42,239.15,163.61,171.57,NaN,339.5268839625188,246.45280962066087,216.91409037328174,6963702.06533,9231189.4853005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.88144899101733,46.27432996563501
2019-09-01T00:00:00Z,171.52,223.94,150.03,180.85,NaN,325.1017126931989,237.0809796748522,209.70127229862538,13648082.369850002,9691099.8512595,NaN,NaN,NaN,NaN,NaN,-129.44312611579056,NaN,40.36583913094277,46.63885021294826
2019-10-01T00:00:00Z,180.89,197.74,153.45,182.18,NaN,312.10882972108993,229.23798257844473,204.1970178389003,14105916.590429999,10158245.804542,NaN,NaN,NaN,NaN,NaN,-123.52143544445923,NaN,40.64620831517321,46.694671364199884
2019-11-01T00:00:00Z,182.19,195.09,131.45,151.37,NaN,297.49620883735446,218.11398506723833,193.63161427112024,10175750.16427,10505373.154654998,NaN,NaN,NaN,NaN,NaN,-119.93206029803767,NaN,43.16418228354268,45.507052578067025
2019-12-01T00:00:00Z,151.43,152.49,116.26,129.16,NaN,282.1929171248677,205.4062729147757,180.7372914168962,8781775.78331,10745176.3667765,NaN,NaN,NaN,NaN,NaN,-117.52486255884088,NaN,43.18797071874756,44.62592556477427
2020-01-01T00:00:00Z,129.16,187,125.88,179.99,NaN,272.9017428407888,201.77537678409348,180.58783313351697,12817879.25715,11165633.879941998,NaN,NaN,NaN,NaN,NaN,-110.24475193629249,NaN,49.14510665742992,47.14810846876714
2020-02-01T00:00:00Z,179.94,288.41,179.1,217.21,NaN,267.83885712798985,203.9803229577944,187.91226650681358,21153996.145800002,12039356.793447997,NaN,NaN,NaN,NaN,NaN,-100.3154943039678,NaN,59.727056695592815,48.980617965037254
2020-03-01T00:00:00Z,217.29,251.93,86,132.72,NaN,255.55532466180895,193.80027682096664,176.87381320545086,40100166.989479996,13812214.382747497,NaN,NaN,NaN,NaN,NaN,-98.13290790480778,NaN,52.569008103293854,45.153346505650816
